"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Lifespan_Wild_max","Lifespan_Wild_exp","Lifespan_Captivity_max","Lifespan_Captivity_exp","HRM_min","HRM_max","HRM_mean","HRF_min","HRF_max","HRF_mean","HRU_min","HRU_max","HRU_mean","Dispersal_DistM_max","Dispersal_DistM_mean","Dispersal_DistF_max","Dispersal_DistF_mean","Dispersal_DistU_max","Dispersal_DistU_mean","Territoriality_M","Territoriality_F","Territoriality_U","Migratory","Colony_SizeN_min","Colony_SizeN_max","Colony_SizeN_mean","Colony_Size","Colony_Mixed","Hibernation","Hibernation_Length_min","Hibernation_Length_max","Hibernation_Length_mean","Echolocation","Echolocation_Type","FME_min","FME_max","FME_mean","EF_min","EF_max","EF_mean","Activity_Pattern_DU","Activity_Pattern_N","Activity_Pattern_DA","Activity_Pattern_D","Roost_Type_CRR","Roost_Type_CRT","Roost_Type_CA","Roost_Type_FO","Roost_Type_HB","Roost_Type_RO","Roost_Type_HG","Pest_Control","Seed_Dispersal","Pollination","Threats_OH","Threats_DE","Threats_P","Threats_HL","Threats_DTR","Threats_RD","Threats_COL","Threats_CP","Conservation_Status","IUCN_Reference"
"YIN010101001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","zenkeri","Scotonycteris_zenkeri",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,1,NA,NA,NA,0,1,1,0,1,0,1,0,0,0,0,"LC","https://www.iucnredlist.org/species/84464403/192236400"
"YIN010101002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","occidentalis","Scotonycteris_occidentalis",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"NE","https://www.iucnredlist.org/species/84466273/84466694"
"YIN010101003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","bergmansi","Scotonycteris_bergmansi",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"NE","https://www.iucnredlist.org/species/84466436/84466645"
"YIN010102001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","argynnis","Casinycteris_argynnis",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"LC","https://www.iucnredlist.org/species/3999/145600125"
"YIN010102002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","ophiodon","Casinycteris_ophiodon",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,"NT","https://www.iucnredlist.org/species/84455300/214846046"
"YIN010102003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","campomaanensis","Casinycteris_campomaanensis",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"DD","https://www.iucnredlist.org/species/84455300/214846046"
"YIN010103001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","aegyptiacus","Rousettus_aegyptiacus",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100,50000,25050,3,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,"LC","https://www.iucnredlist.org/species/29730/22043105"
"YIN010103002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","madagascariensis","Rousettus_madagascariensis",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,1000,750,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,"NT","https://www.iucnredlist.org/species/19750/22002909"
"YIN010103003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","obliviosus","Rousettus_obliviosus",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,4000,2025,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,"VU","https://www.iucnredlist.org/species/19757/166527449"
"YIN010104001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Stenonycteris","lanosus","Stenonycteris_lanosus",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,2,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,"LC","https://www.iucnredlist.org/species/19758/22001971"
