tip,Status,Trend,StatusM,TrendM
Acerodon_celebensis,V,D,V,D
Acerodon_humilis,NA,NA,E,D
Acerodon_jubatus,E,D,E,D
Acerodon_leucotis,NA,NA,V,D
Acerodon_mackloti,NA,NA,V,D
Aethalops_aequalis,NA,NA,LC,U
Aethalops_alecto,LC,U,LC,U
Alionycteris_paucidentata,LC,S,LC,S
Aproteles_bulmerae,NA,NA,CE,D
Balionycteris_maculata,LC,U,LC,U
Casinycteris_argynnis,LC,U,LC,U
Casinycteris_campomaanensis,NA,NA,DD,U
Casinycteris_ophiodon,NA,NA,DD,U
Chironax_melanocephalus,LC,U,LC,U
Cynopterus_brachyotis,LC,U,LC,U
Cynopterus_horsfieldii,LC,U,LC,U
Cynopterus_luzoniensis,NA,NA,LC,S
Cynopterus_minutus,NA,NA,LC,D
Cynopterus_nusatenggara,NA,NA,LC,S
Cynopterus_sphinx,LC,I,LC,I
Cynopterus_titthaecheilus,LC,S,LC,S
Desmalopex_leucopterus,NA,NA,V,D
Desmalopex_microleucopterus,NA,NA,E,D
Dobsonia_anderseni,NA,NA,LC,S
Dobsonia_beauforti,NA,NA,LC,U
Dobsonia_chapmani,NA,NA,CE,D
Dobsonia_crenulata,NA,NA,LC,S
Dobsonia_emersa,NA,NA,V,U
Dobsonia_exoleta,NA,NA,LC,U
Dobsonia_inermis,LC,S,LC,S
Dobsonia_minor,LC,U,LC,U
Dobsonia_moluccensis,LC,S,LC,S
Dobsonia_pannietensis,NT,U,NT,D
Dobsonia_peronii,NA,NA,LC,S
Dobsonia_praedatrix,LC,U,LC,U
Dobsonia_viridis,LC,S,LC,S
Dyacopterus_brooksi,NA,NA,V,D
Dyacopterus_rickarti,NA,NA,E,D
Dyacopterus_spadiceus,NT,D,E,D
Eidolon_dupreanum,NA,NA,V,D
Eidolon_helvum,NT,D,NT,D
Eonycteris_major,DD,U,NT,U
Eonycteris_robusta,NT,D,V,D
Eonycteris_spelaea,LC,U,LC,D
Epomophorus_angolensis,NA,NA,NT,D
Epomophorus_anselli,NA,NA,DD,U
Epomophorus_crypturus,NA,NA,LC,U
Epomophorus_gambianus,LC,U,LC,U
Epomophorus_grandis,NA,NA,DD,U
Epomophorus_labiatus,LC,S,LC,S
Epomophorus_minimus,NA,NA,LC,S
Epomophorus_wahlbergi,LC,S,LC,S
Epomops_buettikoferi,NA,NA,LC,D
Epomops_dobsonii,NA,NA,LC,S
Epomops_franqueti,LC,S,LC,S
