"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","SexDim_Size","HeadBody_LengthM_min","HeadBody_LengthM_max","HeadBody_LengthM_mean","HeadBody_LengthF_min","HeadBody_LengthF_max","HeadBody_LengthF_mean","HeadBody_LengthU_min","HeadBody_LengthU_max","HeadBody_LengthU_mean","Tail_LengthM_min","Tail_LengthM_max","Tail_LengthM_mean","Tail_LengthF_min","Tail_LengthF_max","Tail_LengthF_mean","Tail_LengthU_min","Tail_LengthU_max","Tail_LengthU_mean","Forearm_LengthM_min","Forearm_LengthM_max","Forearm_LengthM_mean","Forearm_LengthF_min","Forearm_LengthF_max","Forearm_LengthF_mean","Forearm_LengthU_min","Forearm_LengthU_max","Forearm_LengthU_mean","Hindfoot_LengthM_min","Hindfoot_LengthM_max","Hindfoot_LengthM_mean","Hindfoot_LengthF_min","Hindfoot_LengthF_max","Hindfoot_LengthF_mean","Hindfoot_LengthU_min","Hindfoot_LengthU_max","Hindfoot_LengthU_mean","Length_totM_min","Length_totM_max","Length_totM_mean","Length_totF_min","Length_totF_max","Length_totF_mean","Length_totU_min","Length_totU_max","Length_totU_mean","Wing_LengthM_min","Wing_LengthM_max","Wing_LengthM_mean","Wing_LengthF_min","Wing_LengthF_max","Wing_LengthF_mean","Wing_LengthU_min","Wing_LengthU_max","Wing_LengthU_mean","Wing_AreaM_min","Wing_AreaM_max","Wing_AreaM_mean","Wing_AreaF_min","Wing_AreaF_max","Wing_AreaF_mean","Wing_AreaU_min","Wing_AreaU_max","Wing_AreaU_mean","WingspanM_min","WingspanM_max","WingspanM_mean","WingspanF_min","WingspanF_max","WingspanF_mean","WingspanU_min","WingspanU_max","WingspanU_mean","W_aspect_ratioM_min","W_aspect_ratioM_max","W_aspect_ratioM_mean","W_aspect_ratioF_min","W_aspect_ratioF_max","W_aspect_ratioF_mean","W_aspect_ratioU_min","W_aspect_ratioU_max","W_aspect_ratioU_mean","W_loadingM_min","W_loadingM_max","W_loadingM_mean","W_loadingF_min","W_loadingF_max","W_loadingF_mean","W_loadingU_min","W_loadingU_max","W_loadingU_mean","DentalFormula","Teeth_num","BodyMassM_min","BodyMassM_max","BodyMassM_mean","BodyMassF_min","BodyMassF_max","BodyMassF_mean","BodyMassU_min","BodyMassU_max","BodyMassU_mean","BodyMass_Neonatal_min","BodyMass_Neonatal_max","BodyMass_Neonatal_mean","HeadBody_Length_Neonate_min","HeadBody_Length_Neonate_max","HeadBody_Length_Neonate_mean","BodyMass_Weaning_min","BodyMass_Weaning_max","BodyMass_Weaning_mean","HeadBody_Length_Weaning_min","HeadBody_Length_Weaning_max","HeadBody_Length_Weaning_mean"
"YIN010101001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","zenkeri","Scotonycteris_zenkeri",0,NA,NA,NA,NA,NA,NA,65,85,75,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,47,55,51,NA,NA,NA,NA,NA,NA,11,14,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 2-3 M 1-2",28,NA,NA,NA,NA,NA,NA,16,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010101002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","occidentalis","Scotonycteris_occidentalis",0,NA,NA,NA,NA,NA,NA,65,85,75,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,47,55,51,NA,NA,NA,NA,NA,NA,11,14,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,NA,NA,NA,NA,NA,NA,16,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010101003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","bergmansi","Scotonycteris_bergmansi",0,NA,NA,NA,NA,NA,NA,65,85,75,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,47,55,51,NA,NA,NA,NA,NA,NA,11,14,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,NA,NA,NA,NA,NA,NA,16,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010102001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","argynnis","Casinycteris_argynnis",1,NA,NA,80,70,100,85,NA,NA,NA,0,0,0,0,0,0,0,0,0,50,56,53,56,62,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,380,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 2-3 M 1-2",28,NA,NA,29,24,41,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010102002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","ophiodon","Casinycteris_ophiodon",0,NA,NA,NA,NA,NA,NA,115,122,118.5,0,0,0,0,0,0,0,0,0,74,79,76.5,73,81,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,548,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,60,77,68.5,64,95,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010102003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","campomaanensis","Casinycteris_campomaanensis",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,73.2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010103001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","aegyptiacus","Rousettus_aegyptiacus",0,125,192,136.8,109,153,131.9,138,192,165,13,22,17,8,24,16.8,6.6,25,15.8,82,106,95.9,85,106,94.9,82,106,94,NA,NA,NA,NA,NA,NA,17,38,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,670,628,485,670,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,88,170,130.5,83,166,120.7,81,171,126,18,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010103002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","madagascariensis","Rousettus_madagascariensis",0,NA,NA,NA,NA,NA,NA,119,143,131,NA,NA,NA,NA,NA,NA,6,13.5,9.75,NA,NA,NA,NA,NA,NA,66,80,73,NA,NA,NA,NA,NA,NA,16,19,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,NA,NA,NA,NA,NA,NA,31,81.5,56.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010103003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","obliviosus","Rousettus_obliviosus",0,NA,NA,NA,NA,NA,NA,121,142,131.5,NA,NA,NA,NA,NA,NA,14,25,19.5,NA,NA,NA,NA,NA,NA,70,78,74,NA,NA,NA,NA,NA,NA,13,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,NA,NA,NA,NA,NA,NA,42,73,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010104001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Stenonycteris","lanosus","Stenonycteris_lanosus",0,NA,NA,NA,NA,NA,NA,114,173,143.5,NA,NA,NA,NA,NA,NA,9,25,17,NA,NA,NA,NA,NA,NA,85,95,90,NA,NA,NA,NA,NA,NA,18,27,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,644,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 2-2 C 1-1 P 3-3 M 2-3 ",34,NA,NA,NA,NA,NA,NA,94,162,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
