Family,Genus,Species,Binomial,X_For_Partition,Binomial_2,No_VF,RNA,DNA,Retro,Zoo,RWL,log_AR,AR,log_Forearm,Forearm,log_Mass,Mass,Pulse,sqrt_Rarea,Range_Area,Median_Y_Lat,Median_X_Long,Sympatry,log_Median,Group Size,Roost,Lifespan,Torpor,Diet_2,Migration,Status,Trend,sin_Citations,sin_No_Mixed,Residuals,PhyloClust56,PhyloClust41
Rhinolophidae,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,1,Rhinolophus_ferrumequinum,15,7,6,2,5,43.15094896,0.785329835,6.1,1.769746467,58.84999998,1.371067862,23.49999999,1,3121.986547,9746800,36.1058998,59.9113998,173,2.06069784,114.9999999,G,360,H,Pred,N,LC,D,6.556780374,2.491779853,-53.02793528,PC5,PC25
Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,2,Miniopterus_schreibersii,14,8,5,1,6,42.12152215,0.84509804,7,1.66266341,45.99000005,1.096910013,12.5,1,NA,NA,NA,NA,NA,NA,NA,G,168,H,Pred,Y,NT,D,6.011273182,1.818446459,NA,PC1,PC6
Pteropodidae,Eidolon,helvum,Eidolon helvum,3,Eidolon_helvum,13,6,6,1,7,47.11269039,0.838849091,6.900000004,2.090434416,123.15,2.418301291,261.9999998,1,3435.272915,11801100,-1.96336,20.4671993,195,5.740362689,549999.9994,G,261.99,NT,Phyto,Y,NT,D,5.402697672,NA,-48.10717913,PC7,PC38
Pteropodidae,Rousettus,aegyptiacus,Rousettus aegyptiacus,4,Rousettus_aegyptiacus,11,8,3,0,6,47.37607692,NA,NA,1.992332559,98.24999999,2.133538908,135.9999999,2,2017.785915,4071459.999,1.05337,26.4207993,212,NA,NA,G,274.8,NT,Phyto,NA,LC,S,6.349142048,2.644120761,46.16910415,PC7,PC41
Vespertilionidae,Myotis,ricketti,Myotis ricketti,5,Myotis_ricketti,11,5,5,1,5,NA,NA,NA,NA,NA,1.418135498,26.18999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Pred,NA,NA,NA,3.689503869,NA,NA,PC1,PC4
Rhinolophidae,Rhinolophus,affinis,Rhinolophus affinis,6,Rhinolophus_affinis,10,6,2,2,7,29.94522379,0.710963119,5.14,1.722222464,52.75,1.136720567,13.7,2,2346.582622,5506450.002,17.1758995,104.9020004,238,3.322219295,2100.000001,CV,NA,T,Pred,NA,LC,S,3.829113652,1.818446459,54.24429251,PC5,PC25
Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,7,Rousettus_leschenaultii,10,7,2,1,2,53.0847255,0.77815125,5.999999995,1.915135907,82.25000007,1.949390007,89.00000007,2,2600.801799,6764169.998,19.1399994,91.9173965,213,3.000434077,1000.999999,G,NA,NT,Phyto,NA,LC,S,3.333477587,NA,15.38517907,PC7,PC41
Rhinolophidae,Rhinolophus,sinicus,Rhinolophus sinicus,8,Rhinolophus_sinicus,9,5,3,1,3,36.96807127,0.725911632,5.319999996,1.694605199,49.50000001,1.005180513,10.12000001,NA,1472.681228,2168789.999,27.2017994,108.5130005,131,NA,NA,CV,NA,H,Pred,NA,LC,U,3.829113652,1.443635475,-5.11375262,PC5,PC25
Vespertilionidae,Myotis,myotis,Myotis myotis,9,Myotis_myotis,9,6,3,0,4,37.56667272,0.799340549,6.299999993,1.805500858,63.89999998,1.408239965,25.59999998,1,1968.369884,3874480,44.3703995,15.0248003,43,NA,NA,CV,264,H,Pred,Y,LC,S,6.86693437,NA,-120.1369119,PC1,PC4
Pteropodidae,Pteropus,giganteus,Pteropus giganteus,10,Pteropus_giganteus,9,5,4,0,4,NA,NA,NA,2.2503468,177.9699998,3.071882007,1179.999999,1,2000.552424,4002210.001,22.6455994,80.2332001,128,NA,NA,F,376.8,NT,Phyto,NA,LC,D,5.393648207,NA,-36.89138802,PC7,PC38
