tip,adult_body_length_mm,HMWlengthmin,HMWlengthmax,tail_min,tail_max,ear_min,ear_max,hindfoot_min,hindfoot_max,adult_forearm_length_mm,HMWforearmmin,HMWforearmmax,adult_mass_g,HMWmassmin,HMWmassmax
Acerodon_celebensis,201.25,190,225,0,0,30,34,37,44,133.5,130,145,384.84,374,374
Acerodon_humilis,NA,NA,NA,0,0,24,24,46,46,140,140,140,352.43,NA,NA
Acerodon_jubatus,NA,260,300,0,0,31,34,56,62,188.04,182,205,1087.04,800,1400
Acerodon_leucotis,NA,NA,NA,0,0,29,32,46,46,139.95,130,165,352.07,NA,NA
Acerodon_mackloti,NA,230,230,0,0,32,34,46,46,145.5,139,148,467.93,518,518
Aethalops_aequalis,73,55,70,0,0,9,12,7,10.5,44,40,48,13.9,14,18
Aethalops_alecto,73,63,75,0,0,9,15,9,14,46.49,43,48,15,17,22.5
Alionycteris_paucidentata,63.9,66,72,0,0,13,15,11,12,44.61,44,50,16.24,14,18
Aproteles_bulmerae,245.47,248,248,30,32,37,37,31,31,166.24,165,165,623.91,600,600
Balionycteris_maculata,66,50,74,0,0,7,11,7,8,40.96,38,43,14.43,11,14
Casinycteris_argynnis,95,70,100,0,0,15,20,12,14,56,53,59,28.28,24,41
Casinycteris_campomaanensis,NA,NA,NA,0,0,22.3,22.3,15,15,73.2,73.2,73.2,49,49,49
Casinycteris_ophiodon,143,115,122,0,0,20,25,17,19,75.99,73.5,80,69.42,62,86
Chironax_melanocephalus,70,55,72,0,0,11,15,9.3,10.6,45.5,44,48,17.7,16,20
Cynopterus_brachyotis,112.995,72,96,10,16,15,20,11,15,64.21,55,66,37.4,27,45
Cynopterus_horsfieldii,NA,85,120,12,19,19,22,14,16,73.52,74.3,74.3,56.955,43,63
Cynopterus_luzoniensis,98.99,95,108,9,14,14,20,11,18,NA,57,68,37.2,26,45
Cynopterus_minutus,112.995,76,83,10,12,14.1,15.1,NA,NA,NA,54.3,59.1,37.3,19,24.3
Cynopterus_nusatenggara,NA,88,88,5,5,18,18,13,13,NA,55.1,64.8,36.44,24.5,37.5
