authors,article.title,source.title,publication.year,host.genus,host.species,virus.subfamily,virus.genus,virus.species,sero.positive,PCR.positive,isolation.positive,sample.size,notes,sample.size.notes
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,VIROLOGY JOURNAL,2012,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,NA,NA,1,0,46,,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,VIROLOGY JOURNAL,2012,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,NA,NA,1,0,29,,subtract from total
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,VIROLOGY JOURNAL,2012,pteropus,hypomelanus,rubulavirinae,pararubulavirus,NA,NA,1,0,29,,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,VIROLOGY JOURNAL,2012,acerodon,celebensis,rubulavirinae,pararubulavirus,NA,NA,1,0,18,,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,VIROLOGY JOURNAL,2012,dobsonia,moluccensis,NA,NA,NA,NA,0,0,17,,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,2007,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,0,102,,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,2007,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,1,1,0,41,,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,2007,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,0,NA,sample size of 98 (including cynopterus),
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,2007,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,0,NA,sample size of 98 (including eonycteris),
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),ASIAN BIOMEDICINE,2013,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,NA,1,NA,pool,,
"Olson, JG; Rupprecht, C; Rollin, PE; An, US; Niezgoda, M; Clemins, T; Walston, J; Ksiazek, TG","Antibodies to Nipah-like virus in bats (Pteropus lylei), Cambodia",EMERGING INFECTIOUS DISEASES,2002,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,96,,
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),VIRUSES-BASEL,2021,eidolon,helvum,orthoparamyxovirinae,henipavirus,NA,NA,1,NA,pool,115 individuals (captive colony),
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),VIRUSES-BASEL,2021,eidolon,helvum,rubulavirinae,pararubulavirus,NA,NA,1,NA,pool,115 individuals (captive colony),
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),VIRUSES-BASEL,2021,eidolon,helvum,NA,NA,NA,NA,1,NA,pool,115 individuals (captive colony),
"Chua, KB",A novel approach for collecting samples from fruit bats for isolation of infectious agents,MICROBES AND INFECTION,2003,pteropus,hypomelanus,rubulavirinae,pararubulavirus,tioman virus,NA,NA,1,pool,,
"Chua, KB",A novel approach for collecting samples from fruit bats for isolation of infectious agents,MICROBES AND INFECTION,2003,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,NA,NA,1,pool,,
