"tip","paramyxovirus.PCR.positive","paramyxovirus.seropositive","paramyxovirus.isolated","orthoparamyxovirus.PCR.positive","orthoparamyxovirus.seropositive","orthoparamyxovirus.isolated","rubulavirus.PCR.positive","rubulavirus.seropositive","rubulavirus.isolated","clade","fam","gen","tiplabel","label"
"Acerodon_celebensis",1,1,0,1,1,0,1,0,0,"Yinpterochiroptera","PTEROPODIDAE","Acerodon","Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA","Acerodon_celebensis"
"Acerodon_humilis",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Acerodon","Acerodon_humilis_PTEROPODIDAE_CHIROPTERA","Acerodon_humilis"
"Acerodon_jubatus",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Acerodon","Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA","Acerodon_jubatus"
"Acerodon_leucotis",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Acerodon","Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA","Acerodon_leucotis"
"Acerodon_mackloti",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Acerodon","Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA","Acerodon_mackloti"
"Aethalops_aequalis",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Aethalops","Aethalops_aequalis_PTEROPODIDAE_CHIROPTERA","Aethalops_aequalis"
"Aethalops_alecto",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Aethalops","Aethalops_alecto_PTEROPODIDAE_CHIROPTERA","Aethalops_alecto"
"Alionycteris_paucidentata",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Alionycteris","Alionycteris_paucidentata_PTEROPODIDAE_CHIROPTERA","Alionycteris_paucidentata"
"Aproteles_bulmerae",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Aproteles","Aproteles_bulmerae_PTEROPODIDAE_CHIROPTERA","Aproteles_bulmerae"
"Balionycteris_maculata",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Balionycteris","Balionycteris_maculata_PTEROPODIDAE_CHIROPTERA","Balionycteris_maculata"
"Casinycteris_argynnis",0,0,0,0,0,0,0,0,0,"Yinpterochiroptera","PTEROPODIDAE","Casinycteris","Casinycteris_argynnis_PTEROPODIDAE_CHIROPTERA","Casinycteris_argynnis"
